 How Machines *Really* Learn.  [Footnote]  	 2.5. This title is not particularly clickbaity because it does not use any sensational language or promise any extraordinary results. It is simply asking a question and providing a footnote.
 24 Hours of Death, Part 1  	  7.5 - Somewhat clickbaity. The title implies a suspenseful story that will be revealed over the course of 24 hours.
 24 Hours of Death Part 2  	 7.5 - Somewhat clickbaity. The title implies that something exciting or suspenseful is going to happen in the next 24 hours, which is a common clickbait tactic.
 Why Die?  	  10.0 - This title is extremely clickbaity as it is a rhetorical question that implies that there is a solution to not dying.
 Q&A With Grey: Meme Edition  	 7.5 - This title is somewhat clickbaity because it uses a question mark to draw attention and the word "meme" is a popular buzzword that could draw in readers.
 SURPRISE VLOG: Las Vegas  	  7.5 - Somewhat clickbaity. The title implies that the vlog will be a surprise and that it will take place in Las Vegas, which could be intriguing to viewers.
 7 Ways to Maximize Misery 😞  	 2.5 - Not particularly clickbaity. The title is not overly sensationalized and does not promise something that is too good to be true.
 FOOTNOTE † : 7 Ways to Maximize Misery  	 7.5 - This title is somewhat clickbaity because it uses a footnote symbol to draw attention to the content and implies that the content will provide ways to maximize misery, which is an extreme statement.
 This Video is Worth $9,794  	 7.5 - Somewhat clickbaity. The title implies that the video is worth a large amount of money, which is likely to draw attention and entice people to click on it.
 Footnote †: Dollars Per Monetized View  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language or promises.
 Footnote ‡: YouTube Red  	  2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Your Social Security Card is Insecure  	 7.5 - Somewhat clickbaity. The title implies that the security of a Social Security Card is not secure, which could be a cause for concern and could be used to draw attention.
 Re: The Trouble With The Electoral College – Cities, Metro Areas, Elections and The United States  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language or promises of a shocking revelation.
 [UPDATED VERSION!] The Trouble With The Electoral College  	 7.5 - This title is somewhat clickbaity because it implies that there is an issue with the Electoral College and that the article has been updated with new information.
 Death & Dynasties  	  5.0 - Neutral. This title does not contain any clickbait elements, such as sensationalism or exaggeration.
 The Rules for Rulers  	 2.5 - Not particularly clickbaity. The title is straightforward and does not contain any sensational language or promises of a shocking reveal.
 The Simple Solution to Traffic  	  5.0 - Neutral. The title does not contain any clickbait elements, such as exaggeration or sensationalism.
 Brexit, Briefly  	  2.5 - Not particularly clickbaity. The title is straightforward and does not use any sensational language.
 You Are Two  	  2.5 - Not particularly clickbaity. The title does not make any promises or use any sensational language.
 I, Phone  	  7.5 - Somewhat clickbaity. The title plays on the phrase "I, Robot" and implies that the article is about a phone, which is a bit clickbaity.
 Should all locks have keys? Phones, Castles, Encryption, and You.  	 2.5. This title is not particularly clickbaity because it is asking a straightforward question and does not use any sensational language or phrases.
 Q&A With Grey: Millenia of Human Attention Edition  	 2.5. This title is not particularly clickbaity because it does not use any sensational language or promise any extraordinary results. It is simply a straightforward description of the content.
 The Trouble with Transporters  	 2.5 - Not particularly clickbaity. The title is straightforward and does not contain any sensational language.
 Why Zebra Are Terrible Horses  	  2.5 - Not particularly clickbaity. The title is not sensationalized and does not make any promises of a shocking or exciting revelation.
 Who Owns Antarctica?  	  2.5 - Not particularly clickbaity. The title is a straightforward question and does not contain any sensational language.
 Americapox: The Missing Plague  	 2.5 - Not particularly clickbaity. The title is intriguing and may draw attention, but it does not contain any sensational language or promises of something extraordinary.
 Brief History of the Royal Family  	  2.5 - Not particularly clickbaity. This title is informative and does not contain any sensational language.
 Not the Confederate Flag  	 2.5 - Not particularly clickbaity. The title is straightforward and does not contain any sensational language.
 Why the UK Election Results are the Worst in History.  	 7.5 - This title is somewhat clickbaity because it is making a bold statement and using language that is designed to draw attention and evoke emotion.
 Las Vegas isn't Las Vegas  	  2.5 - Not particularly clickbaity. The title is a play on words, but it does not contain any sensational language or promise of a shocking reveal.
 Where is Scandinavia?  	  2.5 - Not particularly clickbaity. This title is not particularly sensational or attention-grabbing.
 This Video Will Make You Angry  	 7.5 - Somewhat clickbaity. The title implies that the video will have an emotional impact on the viewer, which is a common clickbait tactic.
 The Rings of Power Explained  	  2.5 - Not particularly clickbaity. The title is informative and does not use any sensational language or promise any extraordinary results.
 But What Is Gandalf, Really?  	 2.5 - Not particularly clickbaity. The title is intriguing and may draw readers in, but it does not contain any sensationalist language or promises of a shocking reveal.
 Quick and Easy Voting for Normal People  	 7.5. This title is somewhat clickbaity because it implies that voting is easy and accessible to everyone, which may not be the case.
 Extra: STV Election Walkthrough  	  2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language or promises of a dramatic outcome.
 Footnote * from STV: Proportional Systems vs STV  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language or promises.
 Footnote † from STV: Switch To STV  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language or promises.
 Footnote ‡ from STV: Hare Vs Droop  	  2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Politics in the Animal Kingdom: Single Transferable Vote  	  2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Humans Need Not Apply  	  10.0 - This title is extremely clickbaity as it implies that humans are no longer needed in the workforce.
 ‡: Are US Military Bases and Embassies American Soil?  	 7.5 - This title is somewhat clickbaity because it uses a special character to draw attention and implies a controversial question.
 American Empire  	 2.5 - Not particularly clickbaity. The title is direct and straightforward, but does not contain any sensational language or promises of a shocking reveal.
 * Parallel and Cross Cousins Explained  	 2.5. This title is not particularly clickbaity because it is straightforward and informative. It does not use any sensational language or promise any extraordinary results.
 Your Family Tree Explained  	  2.5 - Not particularly clickbaity. The title is informative and does not use any sensational language or promise any extraordinary results.
 Internet Citizens: Defend Net Neutrality  	 7.5 - This title is somewhat clickbaity because it is using emotionally charged language to draw attention to the issue of net neutrality.
 Are Hong Kong & Macau Countries?  	  2.5 - Not particularly clickbaity. This title is not particularly sensationalized or designed to draw attention.
 The Law You Won't Be Told  	  8.5 - Somewhat clickbaity. The title implies that there is a law that the reader won't be told about, which is likely to draw their attention and curiosity.
 This Video Will Hurt  	 10.0 - This title is extremely clickbaity as it implies that the video will cause physical or emotional pain.
 Q&A With Grey: One Million Subscribers Edition  	 7.5 - This title is somewhat clickbaity because it implies that the Q&A will be special due to the fact that Grey has one million subscribers.
 How Many Countries Are There?  	  2.5 - Not particularly clickbaity. This title is not particularly sensationalized or attention-grabbing.
 What is reddit?  	 2.5 - Not particularly clickbaity. The title is a straightforward question and does not contain any sensational language or promises of a shocking answer.
 How to Become the British Monarch  	  2.5 - Not particularly clickbaity. The title is straightforward and does not use any sensational language.
 The European Union Explained*  	  2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Canada & The United States's Bizarre Border  	 3.5 - Not particularly clickbaity. The title is interesting and implies something unusual, but it does not use sensational language or promise something extraordinary.
 Countries inside Countries  	  2.5 - Not particularly clickbaity. The title is intriguing but does not make any promises or sensationalize the content.
 Vatican City Explained  	  2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Q&A With Grey: 500,000 Subscribers Edition  	 7.5 - This title is somewhat clickbaity because it implies that the content is exclusive and special due to the number of subscribers, which is a common clickbait tactic.
 How to Become Pope  	  2.5 - Not particularly clickbaity. The title is straightforward and does not use any sensational language.
 The Debt Limit Explained  	 2.5. This title is not particularly clickbaity because it is straightforward and does not use any sensational language or phrases to draw attention.
 Holland vs the Netherlands  	 2.5 - Not particularly clickbaity. The title is simply stating the comparison between two countries, without any sensationalism or exaggeration.
 Can Texas Secede from the Union?  	 2.5. This title is not particularly clickbaity because it is a straightforward question that does not use sensational language or make any exaggerated claims.
 Digital Aristotle: Thoughts on the Future of Education  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 What If the Electoral College is Tied?  	 2.5. This title is not particularly clickbaity because it is a straightforward question that does not use sensational language or promise a shocking answer.
 London's Secret Mayor who runs The Secret City  	  7.5 - Somewhat clickbaity. The title implies there is a secret mayor and a secret city, which is intriguing and could be seen as clickbaity.
 The Secret City inside of London Revealed  	 7.5 - Somewhat clickbaity. The title implies that there is a secret city inside of London that is being revealed, which is intriguing and likely to draw readers in.
 How to Pronounce Uranus  	  2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 People Pronouncing Uranus  	  2.5 - Not particularly clickbaity. The title is straightforward and does not contain any sensational language.
 Is Pluto a planet?  	  2.5 - Not particularly clickbaity. The title is a straightforward question and does not contain any sensational language.
 200,000 Subscribers.  Thank You.  	 7.5 - Somewhat clickbaity. The title is designed to draw attention and evoke an emotional response from the reader.
 5 Historical Misconceptions Rundown  	 2.5 - Not particularly clickbaity. The title does not use any sensational language or promise any shocking revelations.
 Canada Gets Rid of the Penny (Huzzah!)  	 2.5. This title is not particularly clickbaity because it is not sensationalized or exaggerated. It is a straightforward statement of fact.
 Re: Leap Years, 2012 & The Mayan Calendar  	  2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 What is a Leap Year?  	 2.5. This title is not particularly clickbaity because it is a straightforward question about a specific topic. It does not contain any sensational language or promises of a shocking answer.
 Are Daddy Longlegs Spiders?  (Re: 8 Animal Misconceptions Rundown)  	 2.5. This title is not particularly clickbaity because it is a straightforward question that is relevant to the article topic.
 8 Animal Misconceptions Rundown  	  7.5 - Somewhat clickbaity. The title is intriguing and implies that there is a list of misconceptions that will be discussed, but it does not make any promises or use any extreme language.
 Primary Elections Explained  	 2.5. This title is not particularly clickbaity because it is straightforward and informative. It does not use any sensational language or make any exaggerated claims.
 Groundhog Day Explained  	 2.5. This title is not particularly clickbaity because it is straightforward and does not use any sensational language or phrases to draw attention.
 One Year & 100,000 Subscribers Later (Thank You!)  	 7.5 - This title is somewhat clickbaity because it implies that the author has achieved a significant milestone in a short amount of time, which could be seen as an impressive accomplishment.
 Looking for Lisa Holst (Re: 10 Misconceptions Rundown)  	 2.5. This title is not particularly clickbaity because it is not sensationalized or exaggerated. It is a straightforward description of the content of the article.
 Top 10 Misconceptions  	  7.5 (Somewhat clickbaity; the title implies that there is a list of misconceptions that the reader should be aware of, but does not explicitly promise a list of the "top" misconceptions.)
 History Lesson for the History Channel  	  2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 2012 & The End of the World (TL;DW)  	 7.5 - This title is somewhat clickbaity because it implies that there is a connection between 2012 and the end of the world, which is not necessarily true.
 Why 2012 Wasn't the End of the World  	  2.5 - Not particularly clickbaity. The title is not sensationalized and does not make any bold claims.
 A Brief History of Santa  	  2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Death to Pennies  	  2.5 - Not particularly clickbaity. The title is a bit sensational, but it does not promise any specific information or reward.
 How the Electoral College Works  	  2.5 - Not particularly clickbaity. This title is informative and does not contain any sensational language or promises of a shocking reveal.
 The Trouble with the Electoral College  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Daylight Saving Time Explained  	  2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Mixed-Member Proportional Representation Explained  	 0.0 Not clickbaity at all. This title is straightforward and informative, without any sensationalism or exaggeration.
 What are Continents?  	  2.5 - Not particularly clickbaity. This title is straightforward and does not contain any sensational language or promises of a shocking answer.
 Copyright: Forever Less One Day  	  0.0 Not clickbaity at all. This title does not contain any sensationalized language or phrases that would make it clickbaity.
 Gerrymandering Explained  	  2.5 - Not particularly clickbaity. The title is informative and straightforward, without any sensationalism or exaggeration.
 The Shortest-Splitline Algorithm: a Gerrymandering Solution [Bonus Video]  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language or promises of a quick fix.
 Multiple Party Gerrymandering [Bonus Video]  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Coffee: The Greatest Addiction Ever  	  7.5 - Somewhat clickbaity. The title is exaggerated and sensationalized, but not to the same degree as a 10.0 score.
 History of the Union Jack  	 2.5. This title is not particularly clickbaity because it is a straightforward description of the topic.
 How Scotland Joined Great Britain  	 2.5 - Not particularly clickbaity. This title is informative and does not contain any sensational language.
 The True Cost of the Royal Family Explained  	  7.5 - Somewhat clickbaity. The title implies that there is a hidden truth to be revealed about the Royal Family.
 The Alternative Vote Explained  	  2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Minority Rule: First Past the Post Voting  	  2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 The Difference between the UK, Great Britain & England Explained  	 2.5 - Not particularly clickbaity. This title is informative and does not use sensational language or promise any extraordinary results.
 Time Management for Teachers  	  2.5 - Not particularly clickbaity. The title is straightforward and does not use any sensational language or phrases.
