 The Better Boarding Method Airlines Won't Use  	  8.0 - This title is quite clickbaity as it implies that airlines are aware of a better boarding method but are choosing not to use it.
 Airline Boarding Methods  	  2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Footnote * from How to Become Pope  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Footnote † from How to Become Pope  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Footnote ‡ from How to Become Pope  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Footnote * from "The Debt Ceiling Explained"  	 2.5. This title is not particularly clickbaity because it is straightforward and does not contain any sensational language.
 Footnote † from "The Debt Ceiling Explained"  	 2.5. This title is not particularly clickbaity because it is straightforward and does not contain any sensational language.
 Why Nevada Owns Less than 20% of Nevada  	 2.5 - Not particularly clickbaity. The title is straightforward and does not contain any sensational language.
 Who Owns The Statue of Liberty?  	 7.5 - The title is somewhat clickbaity because it is phrased as a question and implies that the answer is unknown or surprising.
 Q&A With Grey: Just Because Edition  	 7.5 - The title is somewhat clickbaity because it implies that the content is exclusive and special, and it also uses a question and answer format to draw attention.
 Summer of Grey: Parts 1 & 3  	 7.0 - The title is somewhat clickbaity because it implies that there is a Part 2 that is missing, which could be intriguing to readers.
 Fable of the Dragon-Tyrant  	 7.5 - The title is somewhat clickbaity because it implies a story with a powerful antagonist.
 How Machines Learn  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 How Machines *Really* Learn.  [Footnote]  	 7.0 - The title is somewhat clickbaity because it implies that there is a deeper truth to be revealed about how machines learn. The footnote also adds to the clickbaity nature of the title.
 24 Hours of Death, Part 1  	  8.0 - This title is quite clickbaity as it implies a suspenseful story that will be revealed over the course of 24 hours.
 24 Hours of Death Part 2  	  8.0 - This title is quite clickbaity as it implies that something dramatic and suspenseful will happen in the next 24 hours.
 Why Die?  	  8.5 - This title is quite clickbaity as it is a rhetorical question that implies there is a solution to the problem of death.
 Q&A With Grey: Meme Edition  	  8.0 - This title is quite clickbaity as it uses a question and answer format and the word "meme" to draw attention.
 SURPRISE VLOG: Las Vegas  	  7.5 - The title is somewhat clickbaity because it implies that the content of the vlog will be a surprise, which could be interpreted as something exciting or unexpected.
 7 Ways to Maximize Misery 😞  	 7.5 - The title is somewhat clickbaity because it is designed to draw attention and evoke emotion, but it is not overly sensationalized.
 FOOTNOTE † : 7 Ways to Maximize Misery  	 7.5 - The title is somewhat clickbaity because it uses a catchy phrase and an attention-grabbing symbol, but it does not make any outrageous claims.
 This Video is Worth $9,794  	  8.5 - This title is quite clickbaity as it implies that the video is worth a large sum of money, which is likely to draw attention and curiosity.
 Footnote †: Dollars Per Monetized View  	 7.5 - The title is somewhat clickbaity because it uses a symbol to draw attention and implies that there is a monetary benefit to viewing the content.
 Footnote ‡: YouTube Red  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language or promises of something extraordinary.
 Your Social Security Card is Insecure  	  8.0 - This title is quite clickbaity as it implies that the reader's Social Security Card is not secure, which could be a cause for concern.
 Re: The Trouble With The Electoral College – Cities, Metro Areas, Elections and The United States  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 [UPDATED VERSION!] The Trouble With The Electoral College  	 7.5 - The title is somewhat clickbaity because it implies that there is an issue with the Electoral College that has been recently updated.
 Death & Dynasties  	  7.5 - The title is somewhat clickbaity because it implies a dramatic story involving death and dynasties.
 The Rules for Rulers  	 7.5 - The title is somewhat clickbaity as it implies that there is a set of rules that rulers must follow, which could be intriguing to readers.
 The Simple Solution to Traffic  	  7.5 - The title is somewhat clickbaity as it implies that there is a simple solution to a complex problem.
 Brexit, Briefly  	  5.0 - Neutral. The title does not contain any sensational language or phrases that would make it clickbaity.
 You Are Two  	  2.5 - Not particularly clickbaity. The title is vague and does not make any promises or sensationalize any content.
 I, Phone  	  7.5 - The title is somewhat clickbaity because it plays on the popular Apple product, the iPhone, and implies that the article is about the product.
 Should all locks have keys? Phones, Castles, Encryption, and You.  	 2.5. This title is not particularly clickbaity because it does not use sensational language or make any bold claims. It is simply asking a question and providing some context.
 Q&A With Grey: Millenia of Human Attention Edition  	 7.5 - The title is somewhat clickbaity because it is using a question and answer format to draw attention and it is also using a celebrity name to draw attention.
 The Trouble with Transporters  	 3.5 - Not particularly clickbaity. The title is intriguing and could draw readers in, but it does not contain any sensational language or promises of a shocking reveal.
 Why Zebra Are Terrible Horses  	 7.5 - The title is somewhat clickbaity because it implies that zebras are similar to horses, but there is something wrong with them.
 Who Owns Antarctica?  	 7.5 - The title is somewhat clickbaity because it is phrased as a question, which implies that the answer is interesting or surprising.
 Americapox: The Missing Plague  	 7.5 - The title is somewhat clickbaity because it uses a combination of words that are designed to draw attention and create a sense of mystery.
 Brief History of the Royal Family  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Not the Confederate Flag  	 2.5 - Not particularly clickbaity. The title does not use any sensational language or phrases to draw attention.
 Why the UK Election Results are the Worst in History.  	  8.0 - This title is somewhat clickbaity because it implies that the election results are the worst in history, which is a strong statement that could be seen as an exaggeration.
 Las Vegas isn't Las Vegas  	 2.5 - Not particularly clickbaity. The title is a play on words, but it does not contain any sensational language or promises of a shocking reveal.
 Where is Scandinavia?  	  2.5 - Not particularly clickbaity. It is a straightforward question that does not attempt to draw attention or create a sense of urgency.
 This Video Will Make You Angry  	  8.5 - This title is quite clickbaity as it is making a strong statement that is likely to draw attention and provoke an emotional response.
 The Rings of Power Explained  	 3.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 But What Is Gandalf, Really?  	  8.0 - This title is somewhat clickbaity as it is intriguing and raises curiosity, but does not make any promises or use any sensational language.
 Quick and Easy Voting for Normal People  	  8.0 - This title is somewhat clickbaity as it implies that voting is easy and accessible to everyone, which may not be the case.
 Extra: STV Election Walkthrough  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language or promises of extraordinary results.
 Footnote * from STV: Proportional Systems vs STV  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language or phrases.
 Footnote † from STV: Switch To STV  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Footnote ‡ from STV: Hare Vs Droop  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language or phrases.
 Politics in the Animal Kingdom: Single Transferable Vote  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Humans Need Not Apply  	  8.5 - This title is quite clickbaity as it implies that humans are no longer needed in the workforce.
 ‡: Are US Military Bases and Embassies American Soil?  	 7.5 - The title is somewhat clickbaity because it is phrased as a question and implies that the answer may be surprising.
 American Empire  	 2.5 - Not particularly clickbaity. The title is straightforward and does not contain any sensational language.
 * Parallel and Cross Cousins Explained  	 2.5 - Not particularly clickbaity. The title is informative and straightforward, and does not contain any sensational language or promises of a shocking reveal.
 Your Family Tree Explained  	 3.5. This title is not particularly clickbaity, as it is not overly sensationalized or exaggerated. It is a straightforward description of the content of the article.
 Internet Citizens: Defend Net Neutrality  	  8.0 - This title is somewhat clickbaity as it uses a call to action to draw readers in and implies a sense of urgency.
 Are Hong Kong & Macau Countries?  	 2.5 - Not particularly clickbaity. The title is straightforward and does not contain any sensational language.
 The Law You Won't Be Told  	  8.0 - This title is quite clickbaity as it implies that there is a law that the reader is not being told about.
 This Video Will Hurt  	  8.5 - This title is quite clickbaity as it implies that the video will cause some kind of physical or emotional pain.
 Q&A With Grey: One Million Subscribers Edition  	  8.0 - This title is quite clickbaity as it implies that the content is exclusive and special due to the milestone of one million subscribers.
 How Many Countries Are There?  	 2.5 - Not particularly clickbaity. The title is straightforward and does not contain any sensational language.
 What is reddit?  	  2.5 - Not particularly clickbaity. The title is straightforward and does not contain any sensational language or promises of a shocking answer.
 How to Become the British Monarch  	 7.5 - The title is somewhat clickbaity because it implies that there is a specific set of steps that can be taken to become the British Monarch, which is likely not the case.
 The European Union Explained*  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language or promises of a shocking revelation.
 Canada & The United States's Bizarre Border  	 7.5 - The title is somewhat clickbaity because it implies that there is something strange or unusual about the border between Canada and the United States.
 Countries inside Countries  	 2.5 - Not particularly clickbaity. The title is intriguing but does not make any promises or sensationalize the content.
 Vatican City Explained  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Q&A With Grey: 500,000 Subscribers Edition  	 7.5 - The title is somewhat clickbaity because it implies that there is something special about this edition of the Q&A with Grey, likely because it is the 500,000 subscribers edition.
 How to Become Pope  	 7.5 - The title is somewhat clickbaity because it implies that there is a specific set of steps that can be taken to become Pope, which may not be the case.
 The Debt Limit Explained  	 2.5 - Not particularly clickbaity. The title is informative and straightforward, and does not contain any sensational language or promises of a shocking reveal.
 Holland vs the Netherlands  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Can Texas Secede from the Union?  	 2.5 - Not particularly clickbaity. The title is asking a serious question and does not contain any sensational language.
 Digital Aristotle: Thoughts on the Future of Education  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 What If the Electoral College is Tied?  	 7.5 - The title is somewhat clickbaity because it implies that there is a possibility of a tie in the Electoral College, which could be seen as a sensationalized outcome.
 London's Secret Mayor who runs The Secret City  	  8.5 - This title is quite clickbaity as it uses words like "secret" and "secret city" to draw attention and create intrigue.
 The Secret City inside of London Revealed  	  8.0 - This title is quite clickbaity as it implies that there is a secret city inside of London that has been revealed.
 How to Pronounce Uranus  	 2.5 - Not particularly clickbaity. The title is straightforward and does not contain any sensational language.
 People Pronouncing Uranus  	 7.5 - The title is somewhat clickbaity because it is designed to draw attention and curiosity. It is not overly sensationalized, but it does have a humorous element to it.
 Is Pluto a planet?  	 2.5 - Not particularly clickbaity. The title is straightforward and does not contain any sensational language.
 200,000 Subscribers.  Thank You.  	  8.0 - This title is quite clickbaity as it implies that something exciting has happened and encourages the reader to click to find out more.
 5 Historical Misconceptions Rundown  	 5.0 - Neutral. This title does not contain any sensational language or phrases that would make it clickbaity.
 Canada Gets Rid of the Penny (Huzzah!)  	 7.5 - The title is somewhat clickbaity because it is phrased in an excited and celebratory way, which encourages readers to click on the article.
 Re: Leap Years, 2012 & The Mayan Calendar  	 2.5 - Not particularly clickbaity. The title is specific and does not contain any sensational language.
 What is a Leap Year?  	 2.5 - Not particularly clickbaity. The title is straightforward and does not contain any sensational language or promises of a shocking revelation.
 Are Daddy Longlegs Spiders?  (Re: 8 Animal Misconceptions Rundown)  	 2.5. This title is not particularly clickbaity because it is asking a factual question and does not contain any sensational language.
 8 Animal Misconceptions Rundown  	 7.5 - The title is somewhat clickbaity because it is designed to draw attention and curiosity with the use of the word "rundown" and the promise of learning about animal misconceptions.
 Primary Elections Explained  	 2.5 - Not particularly clickbaity. The title is informative and straightforward, without any sensationalism or exaggeration.
 Groundhog Day Explained  	 7.5 - The title is somewhat clickbaity because it implies that the article will provide an explanation of the movie Groundhog Day, which could be interpreted as a promise of a deeper understanding of the movie.
 One Year & 100,000 Subscribers Later (Thank You!)  	  8.0 - This title is somewhat clickbaity as it implies that the author has achieved a significant milestone and is thanking their audience for helping them reach it.
 Looking for Lisa Holst (Re: 10 Misconceptions Rundown)  	 2.5 - Not particularly clickbaity. The title is specific and does not contain any sensational language.
 Top 10 Misconceptions  	  8.0 - This title is somewhat clickbaity because it implies that there is a list of the top 10 misconceptions that the reader should be aware of.
 History Lesson for the History Channel  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 2012 & The End of the World (TL;DW)  	 7.5 - This title is somewhat clickbaity because it implies that there is a connection between 2012 and the end of the world, which is not necessarily true. It also uses the acronym TL;DW, which is a common clickbait tactic.
 Why 2012 Wasn't the End of the World  	 2.5 - Not particularly clickbaity. The title does not make any sensational claims or use any hyperbolic language.
 A Brief History of Santa  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Death to Pennies  	  8.0 - This title is quite clickbaity as it is a strong statement that is likely to draw attention and curiosity.
 How the Electoral College Works  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 The Trouble with the Electoral College  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Daylight Saving Time Explained  	 2.5 - Not particularly clickbaity. The title is informative and straightforward, without any sensationalism or exaggeration.
 Mixed-Member Proportional Representation Explained  	 2.5 - Not particularly clickbaity. The title is informative and straightforward, without any sensationalism or exaggeration.
 What are Continents?  	  2.5 - Not particularly clickbaity. The title is straightforward and does not contain any sensational language or promises of a shocking revelation.
 Copyright: Forever Less One Day  	 0.0 - Not clickbaity at all. This title does not contain any sensationalized language or phrases that would entice readers to click on the article.
 Gerrymandering Explained  	 2.5 - Not particularly clickbaity. The title is straightforward and informative, without any sensationalism or exaggeration.
 The Shortest-Splitline Algorithm: a Gerrymandering Solution [Bonus Video]  	 7.5 - The title is somewhat clickbaity because it implies that the algorithm is a solution to gerrymandering and includes a bonus video, which could be seen as an incentive to click.
 Multiple Party Gerrymandering [Bonus Video]  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Coffee: The Greatest Addiction Ever  	  8.0 - This title is quite clickbaity as it uses exaggeration to draw attention and make a bold statement.
 History of the Union Jack  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 How Scotland Joined Great Britain  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 The True Cost of the Royal Family Explained  	 7.5 - The title is somewhat clickbaity as it implies that there is a hidden cost to the Royal Family that will be revealed in the article.
 The Alternative Vote Explained  	 2.5 - Not particularly clickbaity. The title is informative and straightforward, without any sensationalism or exaggeration.
 Minority Rule: First Past the Post Voting  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 The Difference between the UK, Great Britain & England Explained  	 2.5 - Not particularly clickbaity. The title is informative and straightforward, without any sensationalism or exaggeration.
 Time Management for Teachers  	 2.5 - Not particularly clickbaity. The title is straightforward and informative, but does not contain any sensational language or promises.
